1,2,3,4,5,6,7,8,9,next_move
0,0,4,0,0,7,0,0,4,1
0,0,4,0,0,a,0,0,4,4
0,0,4,0,0,d,0,0,4,2
0,0,4,0,0,d,0,0,7,5
0,0,4,0,0,d,0,0,a,0
0,0,4,0,0,7,0,0,4,3
0,0,7,0,0,7,0,0,4,4
0,0,7,0,0,a,0,0,4,5
0,0,7,0,0,a,0,0,7,1
0,0,7,0,0,c,0,0,7,2
0,0,7,0,0,c,0,0,a,0
0,0,a,0,0,c,0,0,a,7
0,0,a,0,2,d,0,0,a,6
0,2,b,0,2,d,0,0,a,8
0,0,4,0,0,7,0,0,4,0
0,0,7,0,0,7,0,0,4,4
0,0,7,0,0,a,0,0,4,1
0,0,7,0,0,d,0,0,4,2
0,0,7,0,0,d,0,0,7,3
0,0,a,0,0,d,0,0,7,6
0,0,4,0,0,7,0,0,4,7
0,0,4,0,2,7,0,0,4,6
0,2,5,0,2,7,0,0,4,3
0,2,8,0,2,7,0,0,4,5
0,2,8,0,2,7,0,0,7,8
0,2,8,0,2,7,0,2,8,4
0,2,8,0,2,a,0,2,8,2
0,2,8,0,2,a,0,2,b,1
0,2,8,0,2,d,0,2,b,0
0,0,4,0,0,7,0,0,4,8
0,0,4,0,0,7,0,2,5,5
0,0,4,0,0,7,0,2,8,4
0,0,4,0,0,a,0,2,8,7
0,0,4,0,2,a,0,2,8,6
0,2,5,0,2,a,0,2,8,3
0,2,8,0,2,a,0,2,8,0
0,0,4,0,0,7,0,0,4,3
0,0,7,0,0,7,0,0,4,4
0,0,7,0,0,a,0,0,4,5
0,0,7,0,0,a,0,0,7,2
0,0,7,0,0,a,0,0,a,1
0,0,7,0,0,d,0,0,a,0
0,0,a,0,0,d,0,0,a,7
0,0,a,0,2,d,0,0,a,8
0,0,4,0,0,7,0,0,4,7
0,0,4,0,2,7,0,0,4,6
0,2,5,0,2,7,0,0,4,3
0,2,8,0,2,7,0,0,4,4
0,2,8,0,2,a,0,0,4,5
0,2,8,0,2,a,0,0,7,8
0,2,8,0,2,a,0,2,8,2
0,2,8,0,2,a,0,2,b,1
0,2,8,0,2,d,0,2,b,0
0,0,4,0,0,7,0,0,4,0
0,0,7,0,0,7,0,0,4,1
0,0,7,0,0,a,0,0,4,4
0,0,7,0,0,d,0,0,4,2
0,0,7,0,0,d,0,0,7,5
0,0,7,0,0,d,0,0,a,3
0,0,a,0,0,d,0,0,a,6
0,2,b,0,0,d,0,0,a,7
0,2,b,0,2,d,0,0,a,8
0,0,4,0,0,7,0,0,4,8
0,0,4,0,0,7,0,2,5,7
0,0,4,0,2,7,0,2,5,5
0,0,4,0,2,7,0,2,8,4
0,0,4,0,2,a,0,2,8,2
0,0,4,0,0,7,0,0,4,4
0,0,4,0,0,a,0,0,4,1
0,0,4,0,0,d,0,0,4,2
0,0,4,0,0,d,0,0,7,5
0,0,4,0,0,d,0,0,a,7
0,0,4,0,2,d,0,0,a,8
0,0,4,0,2,d,0,2,b,6
0,0,4,0,0,7,0,0,4,3
0,0,7,0,0,7,0,0,4,0
0,0,a,0,0,7,0,0,4,4
0,0,a,0,0,a,0,0,4,5
0,0,a,0,0,a,0,0,7,8
0,0,a,0,0,a,0,2,8,7
0,0,a,0,2,a,0,2,8,1
0,0,a,0,2,d,0,2,8,2
0,0,a,0,2,d,0,2,b,6
0,0,4,0,0,7,0,0,4,6
0,2,5,0,0,7,0,0,4,7
0,2,5,0,2,7,0,0,4,8
0,2,5,0,2,7,0,2,5,4
0,2,5,0,2,a,0,2,5,5
0,2,5,0,2,a,0,2,8,3
0,2,8,0,2,a,0,2,8,1
0,2,8,0,2,d,0,2,8,0
0,2,b,0,2,d,0,2,8,2
0,0,4,0,0,7,0,0,4,0
0,0,7,0,0,7,0,0,4,3
0,0,a,0,0,7,0,0,4,6
0,2,b,0,0,7,0,0,4,7
0,2,b,0,2,7,0,0,4,8
0,2,b,0,2,7,0,2,5,5
0,2,b,0,2,7,0,2,8,4
0,0,4,0,0,7,0,0,4,0
0,0,7,0,0,7,0,0,4,1
0,0,7,0,0,a,0,0,4,3
